key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
6,0.618964,0.37509899999999996,114.907,0.03443,0.12914899999999999,0.000397,0,4,302.37333,-9.496,0.9473619999999999,0.905836,0.712,0.62,0.8280000000000001,0.87,dance
7,0.8448169999999999,0.06779199999999999,109.935,0.048568,0.127837,0.910389,1,4,435.8,-8.461,0.44936699999999996,0.6873889999999999,0.359,0.498,0.76,1.0,dance
0,0.940507,0.050800000000000005,128.046,0.029577,0.034144,0.881883,0,4,235.62667,-7.588,0.9321879999999999,0.728027,0.541,0.557,1.0,1.0,dance
0,0.9653419999999999,0.35043799999999997,124.939,0.047233,0.082816,0.000383,1,4,198.65333,-6.038,0.7787839999999999,0.638805,0.0,0.045,0.687,1.0,dance
1,0.6394059999999999,0.064024,88.306,0.116464,0.10038799999999999,0.941271,1,4,65.13333,-6.737,0.7199300000000001,0.866491,0.051000000000000004,0.436,0.312,1.0,dance
7,0.682958,0.094247,139.953,0.07056799999999999,0.001593,0.8842089999999999,1,4,339.44,-11.179,0.217546,0.7149909999999999,0.608,0.555,0.75,1.0,dance
0,0.807279,0.093509,130.002,0.10788,0.22162,0.0,0,4,208.62018,-3.621,0.613644,0.71587,0.5730000000000001,0.65,0.926,1.0,dance
1,0.796964,0.053065999999999995,129.235,0.145807,0.000503,0.8215600000000001,1,4,488.82667,-7.662,0.7067559999999999,0.725089,0.653,0.65,0.8190000000000001,1.0,dance
9,0.834482,0.102628,115.919,0.063152,0.145833,0.013361999999999999,0,4,216.54553,-6.383,0.7526149999999999,0.800945,0.331,0.41200000000000003,0.598,1.0,dance
9,0.589619,0.347443,128.016,0.069953,0.015292,0.00017099999999999998,1,4,162.6,-9.182,0.962563,0.7719800000000001,0.374,0.385,0.858,1.0,dance
1,0.790458,0.337732,119.564,0.056896999999999996,0.022411,0.897631,1,4,844.01587,-13.603,0.8320000000000001,0.720457,0.277,0.441,0.885,1.0,dance
7,0.815981,0.090052,113.244,0.044017999999999995,0.0011539999999999999,0.001228,0,4,375.4,-9.711,0.838762,0.700228,0.445,0.361,0.973,1.0,dance
2,0.8620669999999999,0.187104,128.026,0.053583,0.033597999999999996,1.4e-05,1,4,169.11955,-6.787,0.9396100000000001,0.787376,0.66,0.465,0.9400000000000001,0.845,dance
11,0.8575459999999999,0.108012,139.795,0.30652199999999996,0.030788,0.7776029999999999,0,4,164.57587,-2.442,0.415562,0.567797,0.897,0.675,0.251,1.0,dance
11,0.735412,0.25730000000000003,129.011,0.034886,0.011670999999999999,0.91966,0,4,313.01333,-6.837,0.404871,0.729399,0.489,0.446,0.882,0.792,dance
8,0.733622,0.071792,125.001,0.053938,0.00012299999999999998,0.8624609999999999,1,4,464.40331,-8.567,0.733157,0.806623,0.63,0.727,0.8160000000000001,1.0,dance
1,0.713251,0.094354,117.621,0.062069,0.0021739999999999997,0.9260569999999999,1,4,264.10667,-7.511,0.535517,0.874199,0.162,0.255,0.855,1.0,dance
8,0.9140459999999999,0.306062,145.011,0.050851,0.0012100000000000001,0.861849,1,4,512.04644,-8.468,0.539477,0.509802,0.542,0.603,0.804,0.722,dance
5,0.22386899999999998,0.17308099999999998,126.998,0.037993,0.81408,0.002675,1,4,300.89601,-21.357,0.28054799999999996,0.685095,0.296,0.40700000000000003,0.41600000000000004,0.993,dance
4,0.9696309999999999,0.179865,174.018,0.30697399999999997,0.003987,0.00059,0,4,259.22621,-3.455,0.640489,0.6164700000000001,0.639,0.387,0.10200000000000001,1.0,dance
8,0.752285,0.102133,111.999,0.067392,0.00048199999999999995,0.0008889999999999999,1,4,288.8,-6.112,0.7498079999999999,0.601807,0.307,0.47000000000000003,0.911,0.988,dance
0,0.859582,0.35791799999999996,105.879,0.049304,0.23700000000000002,3.9e-05,1,4,338.13333,-6.827,0.6948019999999999,0.655874,0.394,0.44,0.894,0.9440000000000001,dance
2,0.914531,0.12249299999999999,141.987,0.035158,0.002359,0.8024789999999999,0,4,408.90621,-9.071,0.758815,0.6073569999999999,0.14200000000000002,0.367,0.888,0.538,dance
11,0.87048,0.109066,120.126,0.032775,0.015364,2.4e-05,0,4,245.41333,-6.275,0.9197759999999999,0.747189,0.40700000000000003,0.366,0.901,1.0,dance
8,0.7765219999999999,0.20198000000000002,122.999,0.059053999999999995,0.005952,0.575826,0,4,398.04844,-6.138,0.402979,0.813062,0.628,0.34500000000000003,0.783,1.0,dance
11,0.6729769999999999,0.067826,128.465,0.033773,0.002428,4e-06,0,4,203.64,-6.9030000000000005,0.8786229999999999,0.7291639999999999,0.558,0.458,0.833,1.0,dance
9,0.676708,0.208835,133.593,0.034904,0.021568,0.012532999999999999,0,4,627.53333,-14.484,0.878177,0.513552,0.749,0.374,0.752,0.967,dance
7,0.936769,0.107124,163.978,0.07232000000000001,0.0056700000000000006,0.027135,1,4,270.4,-5.829,0.665872,0.33139799999999997,0.382,0.47300000000000003,0.20600000000000002,1.0,dance
8,0.848922,0.091207,142.98,0.090032,0.017959,9.6e-05,0,4,358.3268,-4.311,0.187601,0.6588700000000001,0.0,0.0,0.608,0.991,dance
9,0.889798,0.127476,127.871,0.07127399999999999,0.000124,0.261739,0,4,333.34948,-3.885,0.176848,0.641747,0.296,0.28700000000000003,0.76,0.988,dance
6,0.610988,0.231351,119.987,0.08049,0.208197,0.879979,1,4,306.84122,-10.658,0.45719899999999997,0.7849579999999999,0.049,0.516,0.888,0.968,dance
9,0.669117,0.204256,93.315,0.202122,0.288223,0.0,1,4,229.65333,-7.464,0.561715,0.805713,0.129,0.242,0.343,1.0,dance
9,0.7168789999999999,0.171979,120.014,0.061896,0.018956,0.6984549999999999,0,4,203.19955,-8.8,0.958746,0.8217369999999999,0.374,0.34700000000000003,0.681,1.0,dance
10,0.712341,0.061485,126.994,0.051338999999999996,2.4e-05,0.916862,0,4,305.77333,-6.3629999999999995,0.347756,0.8079379999999999,0.454,0.482,0.933,1.0,dance
0,0.813029,0.079959,121.395,0.051545,0.26718000000000003,0.000708,0,4,342.53333,-7.184,0.7907679999999999,0.56711,0.547,0.594,0.799,0.997,dance
11,0.849988,0.371456,129.92,0.17454,0.009574,0.528512,1,4,254.99537,-6.082,0.44382299999999997,0.770656,0.756,0.514,0.8300000000000001,1.0,dance
2,0.6438969999999999,0.140797,124.033,0.034025,0.108425,0.946696,1,4,447.24522,-11.673,0.349518,0.5841109999999999,1.0,0.664,0.5670000000000001,1.0,dance
11,0.839032,0.24204799999999999,125.437,0.124995,0.066288,0.011549,1,4,235.49333,-6.457,0.768918,0.94091,0.459,0.445,0.584,1.0,dance
11,0.764224,0.062996,120.364,0.032674,0.0022,0.8847959999999999,0,4,371.36,-8.956,0.794997,0.465744,0.548,0.419,0.723,0.997,dance
5,0.927357,0.970777,115.052,0.09912000000000001,0.001491,0.000646,0,4,304.33333,-4.256,0.5548500000000001,0.563195,0.177,0.44,0.705,1.0,dance
8,0.93249,0.232754,139.372,0.037736,0.000197,0.872138,1,4,418.01664,-6.827,0.048386,0.5310619999999999,0.052000000000000005,0.393,0.682,1.0,dance
2,0.720668,0.121831,124.981,0.060784,0.091149,0.034047,1,4,299.53333,-10.986,0.597571,0.8111929999999999,0.0,0.317,0.983,0.96,dance
7,0.721359,0.3242,103.006,0.071085,0.232563,0.00018099999999999998,1,4,220.73578,-6.102,0.8545769999999999,0.809573,0.037,0.498,0.0,1.0,dance
10,0.9877319999999999,0.37892499999999996,150.035,0.071556,0.256089,0.028315999999999997,1,4,212.45333,-3.455,0.559591,0.594664,0.081,0.274,0.404,1.0,dance
0,0.728312,0.103728,126.024,0.056829,0.0006569999999999999,0.472151,1,4,420.95578,-6.827,0.33514499999999997,0.800029,0.8250000000000001,0.42,0.893,0.857,dance
11,0.391964,0.049845999999999994,128.096,0.19944199999999998,0.238361,0.139866,0,4,203.51955,-15.337,0.5980289999999999,0.724142,0.23800000000000002,0.48,0.926,0.993,dance
5,0.7046129999999999,0.26026299999999997,143.984,0.049236999999999996,0.059244,1e-06,1,4,224.90667,-4.054,0.8592759999999999,0.721877,0.62,0.324,0.84,0.987,dance
6,0.26706399999999997,0.678955,124.989,0.066662,0.0014479999999999999,0.45617199999999997,1,3,530.05016,-12.418,0.07515899999999999,0.823499,0.911,0.771,0.605,0.157,dance
7,0.848043,0.362697,140.064,0.059137999999999996,0.000549,0.023153,0,4,168.43256,-5.158,0.333889,0.52515,0.621,0.488,0.527,1.0,dance
1,0.73989,0.06719599999999999,127.003,0.042714999999999996,0.019783,0.8695649999999999,1,4,540.5083,-10.485,0.593451,0.80069,0.171,0.376,0.9530000000000001,0.973,dance
7,0.7163269999999999,0.061396,130.018,0.119112,6.2e-05,0.6251829999999999,1,4,247.10095,-6.677,0.24928799999999998,0.719244,0.93,0.406,0.8150000000000001,1.0,dance
1,0.754964,0.23009000000000002,122.824,0.042657,0.0014169999999999999,0.679852,1,4,261.82621,-8.015,0.476523,0.7190489999999999,0.15,0.336,0.8190000000000001,1.0,dance
5,0.972621,0.325714,116.172,0.063885,0.000203,0.618046,0,4,471.8,-6.483,0.881799,0.7771969999999999,0.41200000000000003,0.46900000000000003,0.927,1.0,dance
8,0.864238,0.334074,125.227,0.216021,0.004007999999999999,0.525069,1,4,201.8,-9.375,0.551066,0.660859,0.5750000000000001,0.499,1.0,1.0,dance
0,0.624258,0.06794599999999999,104.986,0.040403,0.00032,0.856018,1,4,322.24653,-8.854,0.681014,0.71423,0.322,0.548,0.878,1.0,dance
2,0.674709,0.334407,101.877,0.026836,0.004927,0.829716,0,4,242.05542,-8.919,0.142614,0.402116,0.245,0.354,0.373,0.986,dance
8,0.7306579999999999,0.101535,122.929,0.070489,0.024364,0.836136,1,4,468.6,-9.901,0.740001,0.886605,0.432,0.187,0.968,1.0,dance
7,0.7434649999999999,0.15870599999999999,112.051,0.045304,0.11444000000000001,0.854413,1,4,320.20317,-10.145,0.13142,0.616988,0.513,0.058,0.735,1.0,dance
11,0.527691,0.134598,128.012,0.056233,0.02646,0.865876,1,4,406.39565,-11.79,0.616169,0.816647,0.323,0.337,0.489,1.0,dance
5,0.9396789999999999,0.879139,123.825,0.079969,0.027174,0.033262,0,4,371.61333,-7.74,0.368568,0.49701399999999996,0.683,0.632,0.757,1.0,dance
10,0.902451,0.35590499999999997,139.902,0.052155,3e-06,0.898126,1,4,54.85333,-4.102,0.504197,0.35998,0.08600000000000001,0.028,0.918,1.0,dance
1,0.9452889999999999,0.2477,104.604,0.078954,0.020065,0.28668699999999997,1,4,318.97333,-6.82,0.591586,0.772025,0.485,0.512,0.279,1.0,dance
1,0.196402,0.251795,129.763,0.908199,0.5360889999999999,0.0,0,4,125.89333,-20.026,0.402001,0.704544,0.737,0.666,0.043000000000000003,0.17300000000000001,dance
5,0.620331,0.096022,121.07,0.048544,0.049580000000000006,1.8e-05,0,4,426.06667,-10.071,0.788744,0.80261,0.138,0.32,0.976,1.0,dance
2,0.816145,0.069411,124.636,0.10598099999999999,0.062683,0.009500999999999999,1,4,246.18667,-4.001,0.596062,0.817059,0.756,0.681,0.723,0.977,dance
6,0.8903129999999999,0.087223,135.316,0.048442,0.001102,0.8937649999999999,0,4,432.39025,-8.068,0.446565,0.530906,0.838,0.681,0.754,0.9590000000000001,dance
6,0.928001,0.105291,128.003,0.085881,0.003997,0.9131159999999999,0,4,248.72259,-5.766,0.172098,0.7958109999999999,0.01,0.364,0.834,0.9500000000000001,dance
1,0.714699,0.147398,130.001,0.080459,0.207643,0.013075999999999999,1,4,327.69333,-10.171,0.300334,0.628324,0.0,0.0,0.8320000000000001,0.997,dance
1,0.806043,0.157255,129.987,0.07705000000000001,0.020065,0.904936,1,4,308.29333,-7.305,0.591526,0.866437,0.28200000000000003,0.399,0.79,1.0,dance
9,0.9070269999999999,0.555103,178.805,0.344115,0.331364,0.0,0,3,233.22667,-2.35,0.7267319999999999,0.45302499999999996,0.379,0.388,0.25,1.0,dance
9,0.813974,0.21253000000000002,149.879,0.03137,0.002583,0.012485,0,4,177.17333,-7.077,0.607414,0.475771,0.383,0.468,0.708,0.835,dance
10,0.977343,0.171815,145.019,0.04241,0.001285,0.883883,0,4,392.8,-7.289,0.36516000000000004,0.57567,0.427,0.43,0.91,0.86,dance
5,0.738123,0.20962699999999998,94.309,0.207027,0.388525,1e-06,0,4,208.02667,-8.179,0.543627,0.9005519999999999,0.326,0.42,0.242,1.0,dance
10,0.628697,0.09603099999999999,126.003,0.083344,0.002855,0.864544,0,4,445.22667,-11.269,0.128633,0.7986829999999999,0.633,0.556,0.9430000000000001,0.996,dance
8,0.791117,0.201907,125.001,0.041603999999999995,0.05219000000000001,0.849549,1,4,370.67755,-5.588,0.810099,0.802982,0.556,0.558,0.745,1.0,dance
0,0.700008,0.07185699999999999,119.98,0.037480000000000006,0.0007109999999999999,0.195692,1,4,581.22667,-9.332,0.225385,0.773551,0.038,0.272,0.742,1.0,dance
11,0.738964,0.11421,129.969,0.037653,0.010098,0.5512279999999999,1,4,256.67937,-8.071,0.296888,0.624058,0.521,0.5650000000000001,0.803,1.0,dance
2,0.26273599999999997,0.10599299999999999,100.003,0.038931,0.282686,0.805024,1,4,350.46667,-18.851,0.40737199999999996,0.698611,0.8240000000000001,0.664,0.9,0.9590000000000001,dance
7,0.808137,0.031595,133.505,0.137152,0.001503,0.289429,1,4,292.0,-5.018,0.869269,0.8715919999999999,0.0,0.0,1.0,1.0,dance
9,0.8442179999999999,0.309152,126.053,0.041825999999999995,0.011378,0.000625,0,4,269.56,-4.538,0.26151,0.538007,0.0,0.019,0.79,1.0,dance
6,0.791369,0.08097,87.01,0.080244,0.001156,0.6052489999999999,0,4,360.2541,-6.663,0.396572,0.666493,0.159,0.293,0.792,1.0,dance
6,0.969224,0.16147499999999998,174.059,0.29056299999999996,3.3e-05,0.00039000000000000005,0,4,346.20689,-4.689,0.232491,0.544859,0.384,0.5680000000000001,0.722,1.0,dance
7,0.845842,0.043211,92.326,0.049381999999999995,0.026140999999999998,4e-06,0,4,272.72,-7.25,0.8883489999999999,0.698859,0.484,0.326,0.34700000000000003,1.0,dance
6,0.802307,0.099659,101.24,0.21287199999999998,0.414487,0.0,1,4,248.77333,-6.083,0.6622429999999999,0.7596839999999999,0.468,0.47100000000000003,0.639,1.0,dance
7,0.780679,0.868068,125.019,0.044253,0.001441,0.0,0,4,232.86667,-3.787,0.27613499999999996,0.526269,0.626,0.593,0.62,0.842,dance
5,0.9098759999999999,0.102891,127.023,0.099768,0.045255,0.0,0,4,244.2,-3.235,0.431239,0.662169,0.633,0.558,0.875,1.0,dance
5,0.9208139999999999,0.30482699999999996,108.002,0.058142,0.15319000000000002,0.002127,0,4,239.22667,-2.383,0.807646,0.831379,0.241,0.47200000000000003,0.936,1.0,dance
7,0.725931,0.0811,128.997,0.051852999999999996,0.429313,0.46149399999999996,1,4,349.73333,-10.257,0.47306000000000004,0.730559,0.017,0.316,0.794,0.897,dance
11,0.7268239999999999,0.044593999999999995,99.891,0.231179,0.075014,0.004853,1,4,253.53333,-7.187,0.8276509999999999,0.6283329999999999,0.024,0.419,0.13,1.0,dance
1,0.914947,0.11889799999999999,110.011,0.048312,0.001421,0.37884199999999996,0,4,345.26667,-8.777,0.34754399999999996,0.499579,0.48,0.366,0.884,1.0,dance
10,0.6662159999999999,0.077084,176.035,0.084326,0.003594,0.04335000000000001,0,4,333.94667,-6.821,0.272107,0.629103,0.47000000000000003,0.5630000000000001,0.091,1.0,dance
7,0.909007,0.050158999999999995,144.465,0.07681299999999999,0.000187,0.813168,1,5,378.94667,-9.336,0.5742929999999999,0.505432,0.599,0.489,0.522,0.436,dance
1,0.595772,0.036344,111.797,0.042572,0.37627499999999997,0.004101,1,4,227.89333,-12.836,0.8565689999999999,0.527829,0.771,0.728,0.47700000000000004,0.9520000000000001,dance
5,0.48391399999999996,0.23193799999999998,169.94,0.052032999999999996,0.022335999999999998,0.699606,0,4,315.7059,-10.932,0.101231,0.640811,0.147,0.231,0.5650000000000001,1.0,dance
8,0.9164169999999999,0.047538,120.013,0.068227,0.009555,0.773019,1,4,433.81841,-8.274000000000001,0.5820719999999999,0.802326,0.984,0.72,0.757,1.0,dance
1,0.602872,0.042367999999999996,109.991,0.053703999999999995,0.000356,0.55754,1,4,193.24812,-4.777,0.5721539999999999,0.758604,0.41000000000000003,0.40800000000000003,0.779,1.0,dance
10,0.9222859999999999,0.383783,139.998,0.036550000000000006,0.001487,0.850449,0,4,737.22667,-7.136,0.17699099999999998,0.584892,0.856,0.71,0.856,0.981,dance
7,0.699356,0.19067699999999999,115.003,0.041413,0.019294,0.604506,1,4,324.38667,-9.975,0.338908,0.748466,0.682,0.465,0.766,0.997,dance
9,0.6283989999999999,0.074649,90.93,0.303122,0.09442199999999999,0.0,1,4,235.54667,-5.8469999999999995,0.7290329999999999,0.825255,0.145,0.046,0.542,1.0,dance
1,0.8883979999999999,0.8440759999999999,124.044,0.047979,0.002764,1e-06,0,4,187.30667,-5.211,0.55688,0.5940909999999999,0.331,0.581,0.778,0.995,dance
0,0.663202,0.143379,126.055,0.132319,0.069487,0.115904,0,4,246.06667,-8.57,0.31853899999999996,0.595403,0.748,0.684,0.75,1.0,dance
5,0.46388799999999997,0.06490699999999999,110.657,0.042663,0.032524,1.8e-05,0,4,308.01333,-8.481,0.968043,0.8761249999999999,0.40800000000000003,0.46900000000000003,0.752,1.0,dance
8,0.817112,0.380115,131.143,0.048583999999999995,0.009141999999999999,0.5781200000000001,0,4,349.66667,-11.664,0.5484829999999999,0.579749,0.0,0.0,0.809,0.999,dance
